output
"第三招待所，
往前走是中正堂，
往右走是竹軒女舍，
往左走是竹湖，
往後走是"
"竹軒女舍，
往前走是工程一、二館，
往右走是研一舍，
往左走是第三招待所，
往後走是"
"研一舍，
往前走是第二餐廳，
往右走是九舍、十舍，
往左走是竹軒女舍，
往後走是十一舍"
"十一舍，
往前走是研一舍，
往右走是九舍、十舍，
往左走是竹軒女舍，
往後走是"
"九舍、十舍，
往前走是第二餐廳，
往右走是游泳池，
往左走是研一舍，
往後走是"
"游泳池，
往前走是體育館，
往右走是綜合球館，
往左走是九舍、十舍，
往後走是環工館"
"環工館，
往前走是游泳池，
往右走是，
往左走是九舍、十舍，
往後走是"
"工程一、二館，
往前走是資訊技術服務中心，
往右走是科學二館，
往左走是中正堂，
往後走是第二餐廳"
"第二餐廳，
往前走是工程一、二館，
往右走是科學二館，
往左走是，
往後走是研一舍"
"科學二館，
往前走是科學一館，
往右走是體育館，
往左走是第二餐廳，
往後走是九舍、十舍"
"體育館，
往前走是科學三館，
往右走是田徑場，
往左走是科學二館，
往後走是游泳池"
"中正堂，
往前走是人社一館，
往右走是資訊技術服務中心，
往左走是行政大樓，
往後走是竹軒女舍"
"資訊技術服務中心，
往前走是工程三館，
往右走是科學一館，
往左走是中正堂，
往後走是工程一、二館"
"科學一館，
往前走是工程四館，
往右走是科學三館，
往左走是資訊技術服務中心，
往後走是科學二館"
"科學三館，
往前走是田家炳光電大樓，
往右走是排球場，
往左走是科學一館，
往後走是體育館"
"綜合球館，
往前走是田徑場，
往右走是，
往左走是游泳池，
往後走是"
"田徑場，
往前走是排球場，
往右走是，
往左走是體育館，
往後走是綜合球館"
"排球場，
往前走是籃球場，
往右走是籃球場，
往左走是科學三館，
往後走是田徑場"
"籃球場，
往前走是網球場，
往右走是，
往左走是排球場，
往後走是田徑場"
"網球場，
往前走是西區滯洪池，
往右走是，
往左走是籃球場，
往後走是籃球場"
"溜冰場，
往前走是，
往右走是，
往左走是籃球場，
往後走是"
"西區滯洪池，
往前走是壘球場，
往右走是，
往左走是，
往後走是網球場"
"壘球場，
往前走是，
往右走是，
往左走是，
往後走是西區滯洪池"
"工程三館，
往前走是工程五館，
往右走是工程四館，
往左走是浩然圖書館，
往後走是資訊技術服務中心"
"工程四館，
往前走是工程五館，
往右走是交映樓，
往左走是工程三館，
往後走是科學一館"
"田家炳光電大樓，
往前走是交映樓，
往右走是籃球場，
往左走是工程四館，
往後走是科學三館"
"交映樓，
往前走是工程六館，
往右走是籃球場，
往左走是工程四館，
往後走是田家炳光電大樓"
"工程五館，
往前走是綜合一館，
往右走是棒球場，
往左走是管理二館，
往後走是工程三館"
"工程六館，
往前走是棒球場，
往右走是西區滯洪池，
往左走是工程五館，
往後走是交映樓"
"棒球場，
往前走是十二舍，
往右走是壘球場，
往左走是工程五館，
往後走是工程六館"
"綜合一館，
往前走是研三舍，
往右走是棒球場，
往左走是女二舍、女二餐廳，
往後走是工程五館"
"管理二館，
往前走是土木結構實驗室，
往右走是工程五館，
往左走是八舍，
往後走是浩然圖書館"
"研二舍，
往前走是，
往右走是，
往左走是十二舍，
往後走是籃球場"
"十二舍，
往前走是十三舍，
往右走是研二舍，
往左走是綜合一館，
往後走是棒球場"
"十三舍，
往前走是，
往右走是，
往左走是研三舍，
往後走是十二舍"
"研三舍，
往前走是服務大樓，
往右走是十三舍，
往左走是土木結構實驗室，
往後走是綜合一館"
"土木結構實驗室，
往前走是材料實驗室及防災中心，
往右走是研三舍，
往左走是，
往後走是綜合一館"
"材料實驗室及防災中心，
往前走是，
往右走是服務大樓，
往左走是，
往後走是材料實驗室及防災中心"
"女二舍、女二餐廳，
往前走是土木結構實驗室，
往右走是綜合一館，
往左走是奈米電子研究大樓，
往後走是八舍"
"奈米電子研究大樓，
往前走是，
往右走是女二舍、女二餐廳，
往左走是，
往後走是固態電子研究大樓"
"七舍，
往前走是八舍，
往右走是工程五館，
往左走是八舍，
往後走是人社一館"
"八舍，
往前走是女二舍、女二餐廳，
往右走是七舍，
往左走是，
往後走是七舍"
"人社三館，
往前走是八舍，
往右走是浩然圖書館，
往左走是固態電子研究大樓，
往後走是活動中心"
"浩然圖書館，
往前走是管理二館，
往右走是工程三館，
往左走是活動中心，
往後走是人社一館"
"活動中心，
往前走是人社三館，
往右走是人社一館，
往左走是固態電子研究大樓，
往後走是行政大樓"
"固態電子研究大樓，
往前走是奈米電子研究大樓，
往右走是人社三館，
往左走是，
往後走是荷花池"
"電子資訊研究大樓，
往前走是，
往右走是荷花池，
往左走是，
往後走是"
"荷花池，
往前走是固態電子研究大樓，
往右走是人社二館，
往左走是電子資訊研究大樓，
往後走是羽球館"
"人社二館，
往前走是活動中心，
往右走是活動中心，
往左走是羽球館，
往後走是管理一館"
"行政大樓，
往前走是活動中心，
往右走是人社一館，
往左走是人社二館，
往後走是竹湖"
"人社一館，
往前走是浩然圖書館，
往右走是工程三館，
往左走是活動中心，
往後走是中正堂"
"羽球館，
往前走是荷花池，
往右走是人社二館，
往左走是電子資訊研究大樓，
往後走是網球場"
"管理一館，
往前走是人社二館，
往右走是竹湖，
往左走是網球場，
往後走是竹湖"
"竹湖，
往前走是管理一館，
往右走是中正堂，
往左走是管理一館，
往後走是"
"服務大樓，
往前走是，
往右走是，
往左走是材料實驗室及防災中心，
往後走是研三舍"
